;item1;item2;item3;item4;item5;item6;item7;item8;item9;item10;item11;item12;item13;item14;item15;item16;item17;item18;item19;item20;item21;item22;item23;item24;item25;item26;item27;item28;item29;item30;item31;item32;item33;item34;item35;item36
SEhs01;2;3;3;3;3;3;3;3;3;2;2;3;2;3;2;3;3;3;3;2;2;3;3;2;3;2;2;2;2;2;2;2;2;2;3;2
SEhs02;2;2;2;2;3;3;3;3;2;2;2;2;3;3;3;3;2;3;3;3;3;3;3;3;3;2;3;3;1;1;1;2;3;2;2;3
SEhs03;3;3;3;3;3;3;3;3;3;3;2;3;3;3;3;3;3;2;3;2;3;3;3;3;3;2;2;3;2;3;2;2;2;2;2;2
SEhs04;3;4;2;2;3;2;3;2;2;3;2;3;2;2;3;3;3;3;2;3;3;4;3;3;4;2;2;4;2;3;3;2;2;2;4;2
SEhs05;3;2;2;2;3;3;4;2;1;2;2;2;1;3;2;2;2;2;2;2;4;3;2;3;2;2;2;2;3;1;2;2;3;2;4;2
SEhs06;3;2;2;2;3;4;3;2;2;2;3;3;2;2;2;3;2;2;2;2;3;3;2;4;3;2;2;3;2;3;2;3;2;3;2;2
SEhs07;3;3;3;4;3;3;4;3;3;3;2;3;3;3;3;2;3;3;3;3;3;4;4;4;4;3;3;4;2;3;2;3;3;3;3;3
SEhs08;2;4;3;4;4;4;4;4;4;4;4;4;4;4;3;4;4;4;3;3;4;4;4;4;2;1;3;3;1;2;3;2;3;2;3;3
SEhs09;4;2;1;1;4;4;4;2;3;3;2;1;4;1;1;2;3;4;2;3;2;1;3;4;3;1;1;1;4;2;3;1;4;2;2;3
SEhs10;3;3;2;3;2;4;3;2;2;3;3;3;2;3;2;4;3;2;3;4;3;3;3;4;3;2;3;3;2;3;2;4;2;2;3;3
SEhs11;3;2;2;1;4;4;4;2;2;3;2;3;4;2;3;2;2;2;3;4;4;4;4;4;3;2;3;2;4;2;1;2;2;3;4;2
SEhs12;3;4;2;4;3;3;3;4;3;3;3;3;3;4;4;3;3;3;3;3;3;3;4;3;3;3;2;3;2;3;3;4;4;3;4;3
SEhs13;3;2;1;2;3;3;4;2;2;3;2;3;3;2;1;3;4;3;3;2;3;3;4;3;3;2;3;3;2;2;4;3;3;3;3;2
SEhs14;3;2;1;2;3;3;4;2;2;3;2;3;3;2;1;3;4;3;3;2;3;3;4;3;3;2;3;3;2;2;4;3;3;3;3;2
SEhs15;3;4;3;3;4;4;4;3;3;3;2;4;3;3;3;3;4;2;3;3;4;4;4;3;4;2;2;3;2;3;3;3;4;3;4;3
SEhs16;4;2;1;1;4;4;4;2;3;3;2;1;4;1;1;2;3;4;2;3;2;1;3;4;3;1;1;1;4;2;3;1;4;2;2;3
SEhs17;3;2;2;1;3;3;3;2;2;2;2;3;2;3;2;4;4;1;1;4;4;4;3;3;3;3;3;2;3;3;3;2;2;3;3;3
SEhs18;3;3;3;4;4;4;4;3;3;2;2;4;3;4;4;4;3;3;4;4;3;4;4;3;4;4;4;3;2;3;3;2;2;3;3;3
SEhs19;2;3;3;3;3;3;3;3;3;2;2;3;2;3;2;3;3;3;3;2;2;3;3;2;3;2;2;2;2;2;2;2;2;2;3;2
SEhs20;4;4;3;4;2;4;4;4;2;4;3;4;3;4;3;4;4;4;4;4;4;4;4;4;4;4;4;4;3;4;4;4;2;4;4;4
SEhs21;3;2;2;2;3;4;3;2;1;4;3;3;3;4;4;3;2;3;2;3;4;4;2;3;3;3;4;2;3;2;2;1;2;4;1;3
SEhs22;3;3;2;3;3;2;3;3;3;4;3;3;2;3;2;3;3;4;4;3;3;3;4;3;4;3;3;3;2;3;3;3;3;3;3;3
SEhs23;3;2;3;3;4;4;4;3;2;3;3;4;3;3;3;4;2;3;4;4;4;4;4;4;3;2;3;3;2;2;2;2;2;2;2;2
SEhs24;3;3;3;3;4;4;4;4;2;4;4;3;3;3;3;3;3;3;3;4;4;4;4;4;3;4;4;3;2;2;3;3;2;3;2;3
SEhs25;3;3;2;2;4;3;3;2;2;3;3;3;2;2;2;3;3;2;3;3;3;3;3;3;2;3;1;2;2;2;2;3;3;2;4;3
SEhs26;3;2;4;4;4;2;3;3;2;3;3;2;2;3;2;3;2;3;3;3;4;3;4;4;4;3;3;3;1;3;2;3;4;4;4;3
SEhs27;3;2;4;4;4;2;3;3;2;3;3;2;2;3;2;3;2;3;3;3;4;3;4;4;4;3;3;3;1;3;2;3;4;4;4;3
SEhs28;3;3;4;3;2;4;4;2;4;3;3;3;3;3;2;3;4;4;3;4;4;4;3;3;3;4;4;4;4;4;4;4;4;4;3;3
SEhs29;4;2;2;2;3;3;4;3;2;4;3;3;4;3;3;3;3;3;3;2;4;4;3;4;4;3;4;4;3;3;2;2;3;4;3;3
SEhs30;4;3;4;3;4;4;4;3;4;3;2;4;3;4;3;3;3;1;4;3;3;4;2;3;2;3;3;4;3;2;2;4;2;3;3;2
SEhs31;4;3;3;3;2;4;3;2;4;2;2;3;3;3;3;3;2;3;3;3;4;3;3;4;3;3;4;3;4;3;3;3;3;3;3;3
SEhs32;2;3;3;3;3;3;4;3;2;3;3;3;4;3;4;3;2;3;3;4;4;4;4;4;4;3;1;3;2;3;2;2;2;3;3;2
SEhs33;4;3;2;3;2;3;4;2;1;2;3;2;3;3;2;3;3;2;3;2;3;4;3;4;3;3;2;3;2;3;2;3;2;2;2;2
SEhs34;3;3;2;2;2;3;3;2;2;2;3;2;2;3;2;3;2;3;3;2;4;4;3;4;3;3;4;3;2;2;2;2;2;2;2;2
SEhs35;4;4;3;4;3;3;3;4;4;3;4;4;3;3;4;4;3;3;3;3;3;3;3;4;3;3;3;3;2;3;2;2;2;2;2;2
SEhs36;2;3;2;2;3;2;3;3;2;3;3;3;2;2;1;3;3;3;3;3;2;3;3;3;3;2;2;2;2;3;3;3;1;1;3;2
